,	,	,	,	,	0
Messiah	Messiah	np1	Messiah	Messiah	0
Crown'd	Crown'd	vvn	Crowned	crown	0
,	,	,	,	,	0
Gods	Gods	n2	Gods	god	0
Reconcil'd	Reconcil'd	vvn	Reconciled	reconcile	0
Decree	Decree	n1	Decree	decree	0
,	,	,	,	,	0
Rebelling	Rebelling	j-vvg	Rebelling	rebel	0
Angels	Angels	n2	Angels	angel	0
,	,	,	,	,	0
the	the	dt	the	the	0
Forbidden	Forbidden	vvn	Forbidden	forbid	0
Tree	Tree	n1	Tree	tree	0
,	,	,	,	,	0
Heav'n	Heav'n	n1	Heaven	heaven	0
,	,	,	,	,	0
Hell	Hell	n1	Hell	hell	0
,	,	,	,	,	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
Chaos	Chaos	np1-n	Chaos	chaos	0
,	,	,	,	,	0
All	All	d	All	all	0
;	;	;	;	;	0
the	the	dt	the	the	0
Argument	Argument	n1	Argument	argument	0
Held	Held	vvd	Held	hold	0
me	me	pno11	me	i	0
a	a	dt	a	a	0
while	while	n1	while	while	0
misdoubting	misdoubting	vvg	misdoubting	misdoubt	0
his	his	po31	his	his	0
Intent	Intent	n1	Intent	intent	0
,	,	,	,	,	0
That	That	cst	That	that	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
ruine	ruine	vvi	ruin	ruin	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
saw	saw	vvd	saw	see	0
him	him	pno31	him	he	0
strong	strong	j	strong	strong	0
)	)	)	)	)	0
The	The	dt	The	the	0
sacred	sacred	j	sacred	sacred	0
Truths	Truths	n2	Truths	truth	0
to	to	p-acp	to	to	0
Fable	Fable	n1	Fable	fable	0
and	and	cc	and	and	0
old	old	j	old	old	0
Song	Song	n1	Song	song	0
(	(	(	(	(	0
So	So	av	So	so	0
Sampson	Sampson	np1	Sampson	Samson	0
groap'd	groap'd	vvd	groped	grope	0
the	the	dt	the	the	0
Temples	Temples	n2	Temples	temple	0
Posts	Posts	n2	Posts	post	0
in	in	p-acp	in	in	0
spight	spight	n1	spite	spite	0
)	)	)	)	)	0
The	The	dt	The	the	0
World	World	n1	World	world	0
o'rewhelming	o'rewhelming	vvg	overwhelming	overwhelm	0
to	to	pc-acp	to	to	0
revenge	revenge	vvi	revenge	revenge	0
his	his	po31	his	his	0
sight	sight	n1	sighed	sight	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
read	read	vvb	read	read	0
,	,	,	,	,	0
soon	soon	av	soon	soon	0
growing	growing	vvg	growing	grow	0
less	less	dc	less	less	0
severe	severe	j	severe	severe	0
,	,	,	,	,	0
I	I	pns11	I	i	0
lik'd	lik'd	vvd	liked	like	0
his	his	po31	his	his	0
Project	Project	n1	Project	project	0
,	,	,	,	,	0
the	the	dt	the	the	0
success	success	n1	success	success	0
did	did	vdd	did	do	0
fear	fear	vvi	fear	fear	0
;	;	;	;	;	0
Through	Through	p-acp	Through	through	0
that	that	cst	that	that	0
wide	wide	j	wide	wide	0
Field	Field	n1	Field	field	0
how	how	c-crq	how	how	0
he	he	pns31	he	he	0
his	his	po31	his	his	0
way	way	n1	way	way	0
should	should	vmd	should	shall	0
find	find	vvi	find	find	0
O're	O're	p-acp	Over	over	0
which	which	r-crq	which	which	0
lame	lame	j	lame	lame	0
Faith	Faith	n1	Faith	faith	0
leads	leads	vvz	leads	lead	0
Understanding	Understanding	n1	Understanding	understanding	0
blind	blind	j	blind	blind	0
;	;	;	;	;	0
Lest	Lest	cs	Lest	lest	0
he	he	pns31	he	he	0
perplex'd	perplex'd	vvn	perplexed	perplex	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
explain	explain	vvi	explain	explain	0
,	,	,	,	,	0
And	And	cc	And	and	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
easie	easie	j	easy	easy	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
render	render	vvi	render	render	0
vain	vain	j	vain	vain	0
.	.	.	.	.	1
Or	Or	cc	Or	or	0
if	if	cs	if	if	0
