,am_ep,paradiselost,fq1596,fowre_hymnes,axiochus,prothalamion
aequator,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aequinoctial,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aereal,0.0,9.011051873981472,0.0,0.0,0.0,0.0
aerernall,0.0,0.0,0.0,0.0,2.252762968495368,0.0
aerie,0.0,18.472978603872036,3.6945957207744073,0.0,0.0,0.0
aeries,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aery,0.0,0.0,4.505525936990736,0.0,0.0,0.0
aesculape,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aesculapius,0.0,0.0,4.505525936990736,0.0,0.0,0.0
aetheriis,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aetn,0.0,0.0,4.505525936990736,0.0,0.0,0.0
aetna,0.0,3.6945957207744073,3.6945957207744073,0.0,0.0,0.0
afar,0.0,2.252762968495368,0.0,0.0,0.0,0.0
afeard,1.8472978603872037,0.0,24.01487218503365,0.0,0.0,0.0
afer,0.0,2.252762968495368,0.0,0.0,0.0,0.0
affable,0.0,4.505525936990736,0.0,0.0,0.0,0.0
affairs,0.0,3.1192315758708453,10.917310515547959,0.0,1.5596157879354227,0.0
affamisht,2.252762968495368,0.0,0.0,0.0,0.0,0.0
affect,0.0,3.1192315758708453,9.357694727612536,1.5596157879354227,0.0,0.0
affected,0.0,0.0,9.011051873981472,0.0,0.0,0.0
affecting,0.0,6.758288905486104,0.0,0.0,0.0,0.0
affectionate,0.0,0.0,4.505525936990736,0.0,0.0,0.0
affections,3.1192315758708453,0.0,9.357694727612536,3.1192315758708453,0.0,0.0
affectios,2.252762968495368,0.0,0.0,0.0,0.0,0.0
affects,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0,0.0
affiance,0.0,0.0,2.252762968495368,0.0,0.0,0.0
affianced,0.0,0.0,2.252762968495368,0.0,0.0,0.0
affied,0.0,0.0,9.011051873981472,0.0,0.0,0.0
affirm,0.0,4.505525936990736,0.0,0.0,0.0,0.0
affix,0.0,0.0,0.0,2.252762968495368,0.0,0.0
affixed,1.5596157879354227,0.0,1.5596157879354227,1.5596157879354227,0.0,0.0
afflict,0.0,0.0,9.357694727612536,3.1192315758708453,0.0,1.5596157879354227
afflicting,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
affliction,0.0,1.5596157879354227,6.238463151741691,1.5596157879354227,0.0,0.0
afflicts,0.0,1.8472978603872037,1.8472978603872037,0.0,0.0,0.0
affluence,0.0,0.0,2.252762968495368,0.0,0.0,0.0
afford,0.0,6.238463151741691,29.632699970773032,0.0,0.0,1.5596157879354227
afforded,0.0,0.0,2.252762968495368,0.0,0.0,0.0
affords,0.0,2.252762968495368,0.0,0.0,0.0,0.0
affrap,0.0,0.0,4.505525936990736,0.0,0.0,0.0
affray,1.8472978603872037,0.0,35.09865934735687,0.0,0.0,0.0
affret,0.0,0.0,9.011051873981472,0.0,0.0,0.0
affright,0.0,0.0,69.8356520233564,0.0,0.0,0.0
affrighted,0.0,1.8472978603872037,3.6945957207744073,0.0,0.0,0.0
affrights,2.252762968495368,0.0,0.0,0.0,0.0,0.0
affront,0.0,4.505525936990736,0.0,0.0,0.0,0.0
affronted,0.0,0.0,6.758288905486104,0.0,0.0,0.0
affronting,0.0,0.0,2.252762968495368,0.0,0.0,0.0
affronts,0.0,2.252762968495368,0.0,0.0,0.0,0.0
affy,0.0,0.0,2.252762968495368,0.0,0.0,0.0
afore,0.0,0.0,97.9067866005218,1.8472978603872037,0.0,0.0
aforehand,0.0,0.0,0.0,0.0,2.252762968495368,0.0
afresh,1.5596157879354227,0.0,12.476926303483381,1.5596157879354227,0.0,0.0
afric,0.0,2.252762968495368,0.0,0.0,0.0,0.0
africk,0.0,0.0,2.252762968495368,0.0,0.0,0.0
afternoons,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aftertime,0.0,0.0,0.0,0.0,2.252762968495368,0.0
aftertimes,0.0,2.252762968495368,0.0,0.0,0.0,0.0
agaean,0.0,0.0,2.252762968495368,0.0,0.0,0.0
agamedes,0.0,0.0,0.0,0.0,2.252762968495368,0.0
aganip,0.0,0.0,2.252762968495368,0.0,0.0,0.0
agape,0.0,1.8472978603872037,3.6945957207744073,0.0,0.0,0.0
agaue,0.0,0.0,2.252762968495368,0.0,0.0,0.0
agdistes,0.0,0.0,2.252762968495368,0.0,0.0,0.0
aged,0.0,0.0,73.30194203296486,0.0,1.5596157879354227,1.5596157879354227
agenor,0.0,0.0,2.252762968495368,0.0,0.0,0.0
agents,0.0,2.252762968495368,0.0,0.0,0.0,0.0
aggrace,0.0,0.0,4.505525936990736,0.0,0.0,0.0
aggrate,0.0,0.0,20.274866716458313,0.0,0.0,0.0
